BusinessEntityID,TerritoryID,SalesQuota,Bonus,CommissionPct,SalesYTD,SalesLastYear,rowguid,ModifiedDate
274,,,0.00,0.00,559697.56,0.00,48754992-9EE0-4C0E-8C94-9451604E3E02,Dec 28 2010 12:00AM
275,2,300000.00,4100.00,0.01,3763178.18,1750406.48,1E0A7274-3064-4F58-88EE-4C6586C87169,May 24 2011 12:00AM
276,4,250000.00,2000.00,0.02,4251368.55,1439156.03,4DD9EEE4-8E81-4F8C-AF97-683394C1F7C0,May 24 2011 12:00AM
277,3,250000.00,2500.00,0.02,3189418.37,1997186.20,39012928-BFEC-4242-874D-423162C3F567,May 24 2011 12:00AM
278,6,250000.00,500.00,0.01,1453719.47,1620276.90,7A0AE1AB-B283-40F9-91D1-167ABF06D720,May 24 2011 12:00AM
279,5,300000.00,6700.00,0.01,2315185.61,1849640.94,52A5179D-3239-4157-AE29-17E868296DC0,May 24 2011 12:00AM
280,1,250000.00,5000.00,0.01,1352577.13,1927059.18,BE941A4A-FB50-4947-BDA4-BB8972365B08,May 24 2011 12:00AM
281,4,250000.00,3550.00,0.01,2458535.62,2073506.00,35326DDB-7278-4FEF-B3BA-EA137B69094E,May 24 2011 12:00AM
282,6,250000.00,5000.00,0.02,2604540.72,2038234.65,31FD7FC1-DC84-4F05-B9A0-762519EACACC,May 24 2011 12:00AM
283,1,250000.00,3500.00,0.01,1573012.94,1371635.32,6BAC15B2-8FFB-45A9-B6D5-040E16C2073F,May 24 2011 12:00AM
284,1,300000.00,3900.00,0.02,1576562.20,0.00,AC94EC04-A2DC-43E3-8654-DD0C546ABC17,Sep 23 2012 12:00AM
285,,,0.00,0.00,172524.45,0.00,CFDBEF27-B1F7-4A56-A878-0221C73BAE67,Mar  7 2013 12:00AM
286,9,250000.00,5650.00,0.02,1421810.92,2278548.98,9B968777-75DC-45BD-A8DF-9CDAA72839E1,May 23 2013 12:00AM
287,,,0.00,0.00,519905.93,0.00,1DD1F689-DF74-4149-8600-59555EEF154B,Apr  9 2012 12:00AM
288,8,250000.00,75.00,0.02,1827066.71,1307949.79,224BB25A-62E3-493E-ACAF-4F8F5C72396A,May 23 2013 12:00AM
289,10,250000.00,5150.00,0.02,4116871.23,1635823.40,25F6838D-9DB4-4833-9DDC-7A24283AF1BA,May 23 2012 12:00AM
290,7,250000.00,985.00,0.02,3121616.32,2396539.76,F509E3D4-76C8-42AA-B353-90B7B8DB08DE,May 23 2012 12:00AM
